Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate
10000,1.0922168,-1356.415477416006,66.33561643835617,1.5134964,-1356.4154856694888,627376.1,0.13203096,0.0002998499
20000,1.0904819,-1211.1986338958118,67.91666666666667,1.1230962,-1211.1986308892567,627403.6,0.13518068,0.0002995499
30000,1.0859622,-1958.1093729559561,66.08843537414965,-1.8262386,-1958.1093563027932,753239.3,0.13562836,0.0002992467
40000,1.08759,-1374.3924833184801,63.86274509803921,-5.5791435,-1331.15198157963,663611.9,0.1271456,0.000298949
50000,1.092459,-1235.0949340616453,68.22695035460993,-7.6433506,-1282.3615197195134,545053.3,0.13265622,0.00029865082
60000,1.0792569,-593.8414584306172,72.62222222222222,-9.008093,-593.8414573386864,436511.47,0.13222392,0.00029835288
70000,1.0703571,160.19168211320357,76.515625,-8.363042,160.1916954666376,445452.72,0.13049684,0.00029805332
80000,1.0525709,377.56030815647335,63.980132450331126,-4.180481,377.5603086964184,336498.3,0.13261618,0.00029775238
90000,1.0565295,565.8181997429879,60.0679012345679,2.5471015,565.8181920699132,395528.03,0.13339177,0.00029745148
100000,1.0607641,382.60850226681754,64.21192052980132,9.692442,382.6085086658301,554374.06,0.13086781,0.00029715017
110000,1.0378506,787.2282938899007,52.875,14.883928,787.2282836748207,357885.4,0.13962129,0.0002968467
120000,1.0455239,558.2690251780283,60.65432098765432,20.544506,561.2287234667665,374535.12,0.13734041,0.00029654603
130000,1.032305,609.461657492114,55.51428571428571,25.186075,645.0834600612095,460025.16,0.12597743,0.00029624644
140000,1.0213448,972.669064931616,57.82035928143713,25.462543,930.2599738438925,538256.25,0.1339587,0.00029595013
150000,1.0171999,1706.1051469065474,59.07272727272727,39.93426,1706.1051409981467,583538.1,0.1317115,0.00029565243
160000,1.0053648,1474.565836773922,51.047120418848166,54.034763,1479.3736650165758,415213.38,0.12414493,0.00029534978
170000,1.0050253,941.1256347348914,48.67,67.746346,900.4830199813842,401104.2,0.13763507,0.00029504873
180000,0.9914742,1604.5560240810646,46.85436893203884,81.26905,1638.7832957834437,385716.9,0.13035023,0.0002947498
190000,1.0036035,1377.656028086376,49.121212121212125,89.42034,1343.671076159792,436813.84,0.12949473,0.00029445233
200000,1.0062808,1369.9255518934424,59.74691358024691,91.91912,1411.0467948913574,423141.47,0.13031822,0.00029414936
210000,0.9644841,1923.7549411289651,55.747126436781606,102.58959,1923.7549320527876,518564.34,0.13015254,0.00029385113
220000,0.96722853,1560.5273002439137,53.06521739130435,115.153534,1568.1790780864778,342572.47,0.12250152,0.00029355384
230000,0.9579233,1156.8856179125335,49.864583333333336,120.61463,1151.7217110352194,451288.3,0.12473447,0.00029324906
240000,0.9686326,1750.6102176067716,53.82967032967033,141.69675,1750.61021901225,477871.16,0.13022982,0.00029294667
250000,0.9862499,1961.9821483115288,65.27027027027027,140.93034,1961.9821425257503,351805.75,0.13657075,0.00029265054
260000,0.9796912,2563.1192680039676,76.609375,145.04218,2563.1192706227303,380115.84,0.13372137,0.00029235252
270000,0.9609282,3163.712415780403,72.38518518518518,167.69145,3163.712431278935,699278.5,0.13822109,0.00029205065
280000,0.9463673,2361.248871301516,62.782051282051285,184.91533,2367.5306204765075,503573.53,0.13433008,0.0002917511
290000,0.9382336,3425.2709886496636,65.63513513513513,209.4318,3401.804486867544,732716.4,0.13832873,0.00029145167
300000,0.9486187,2288.7352459172944,65.64864864864865,219.34923,2305.996192061661,457051.38,0.13378535,0.0002911516
310000,0.94166595,3185.1015071467214,70.34057971014492,226.57243,3185.1015081820283,665382.75,0.13820647,0.00029085093
320000,0.9433727,2948.4292652094937,68.822695035461,246.12189,2948.4292570749917,495974.8,0.12645821,0.00029054997
330000,0.93162143,2762.3921720057624,66.95238095238095,266.63855,2662.8519634286017,596293.6,0.13347967,0.00029024927
340000,0.91741735,2772.9033859518227,63.01960784313726,272.93076,2867.2044155195163,653167.0,0.13341348,0.00028995145
350000,0.9026671,3114.6485738718884,61.3125,296.02347,3133.6699492736434,770296.56,0.137564,0.00028965008
360000,0.9050673,3088.5625328408837,66.71232876712328,313.11526,3088.336033873362,668670.0,0.13592055,0.0002893451
370000,0.91403055,3713.5093540126086,77.712,319.36102,3685.015790121896,624205.25,0.13269323,0.00028904597
380000,0.90081674,3189.6676444144437,72.42962962962963,330.58228,3183.9038172195205,643840.94,0.12947169,0.00028875202
390000,0.89651525,2692.218457953048,65.82432432432432,342.97556,2717.836586262729,646955.94,0.13550667,0.00028845062
400000,0.89854103,3082.0731196333572,84.98245614035088,347.3359,3056.7553890062413,567225.9,0.13066389,0.0002881494
410000,0.90149134,4128.035830728213,92.73333333333333,357.34097,4128.035852995373,562743.25,0.13415027,0.00028784995
420000,0.89552116,3811.3985931612233,84.2991452991453,389.0555,3749.1941017940126,619027.6,0.13217364,0.0002875517
430000,0.89370793,4638.042526136677,81.59663865546219,409.05585,4691.284840901692,800860.25,0.1297512,0.00028725032
440000,0.87599736,3616.3589878984053,67.31724137931035,435.82962,3616.358992214861,768578.56,0.13076101,0.00028695047
450000,0.8766007,3670.957802237999,74.17424242424242,435.3202,3560.9451018362556,703000.1,0.13887443,0.00028665113
460000,0.8841078,3576.4060133962907,85.5,439.53818,3734.128539369817,627444.4,0.13074905,0.00028635008
470000,0.8571778,4108.526587511764,79.64754098360656,468.51617,4075.9552674332285,841031.6,0.1312581,0.00028605037
480000,0.8495912,4575.620620343412,91.37735849056604,472.997,4575.6205978393555,668968.25,0.13159345,0.00028575398
490000,0.8478358,3812.8046233064674,86.94736842105263,482.18893,3791.8344476750467,656780.3,0.13800359,0.00028545177
500000,0.862829,4636.939074478911,86.27678571428571,509.01556,4650.615998799822,699308.1,0.14000924,0.00028514795
510000,0.86489046,4732.685229772116,92.93333333333334,521.88446,4732.6852494921,749112.56,0.13223433,0.00028485013
520000,0.8822694,4608.316204947437,88.68181818181819,549.3417,4608.316208926114,633847.7,0.13691692,0.0002845495
530000,0.866301,4469.14085242298,85.78260869565217,561.50586,4395.371170713191,711683.44,0.12943897,0.00028424856
540000,0.8446024,5316.595595882671,96.56435643564356,580.4002,5390.735645967371,735463.06,0.12881604,0.000283948
550000,0.845261,3758.511129656311,89.06422018348624,592.13904,3758.511119352568,573393.44,0.12962906,0.00028364745
560000,0.83510554,4430.956368480106,99.53061224489795,601.9312,4430.956377924705,574879.0,0.1318996,0.0002833525
570000,0.82821876,5713.575558607531,97.62376237623762,633.3228,5713.575599972564,889720.8,0.12867796,0.00028305198
580000,0.83670217,6236.481670342964,94.60194174757281,659.73773,6236.481701008324,990342.9,0.1360862,0.0002827506
590000,0.83865756,4982.8447266088,86.49107142857143,680.66656,4982.844737427576,851209.5,0.12753113,0.00028244816
600000,0.83986026,4708.818927419771,87.19642857142857,691.15125,4708.818918773106,738310.2,0.13424101,0.00028214848
610000,0.8269338,5111.1158666254105,83.36752136752136,727.67413,5111.11586833204,830547.9,0.13641784,0.000281851
620000,0.82261425,5935.28782827455,90.70642201834862,744.77716,5935.2878322776305,949242.06,0.13947183,0.00028154935
630000,0.81275034,6533.053164620025,94.98039215686275,765.5329,6533.053142323213,1036286.94,0.13753581,0.0002812515
640000,0.79445106,5162.865942764531,82.01666666666667,780.8579,5162.865937455495,957115.4,0.12992106,0.0002809522
650000,0.79196125,7798.234049617654,96.86138613861387,813.80896,7783.403723678589,1316924.9,0.13305154,0.00028064917
660000,0.7769524,6607.843600839768,85.78070175438596,831.73596,6516.300079211854,1299355.0,0.1320703,0.00028034806
670000,0.79242736,7034.7126263706205,99.03061224489795,840.03314,7162.818934199786,1055128.5,0.13171557,0.00028005015
680000,0.7825232,6780.984569264093,90.45370370370371,869.02454,6780.984545107241,1145669.0,0.13320649,0.0002797521
690000,0.77969027,7847.677344686985,97.85,884.6352,7847.677310028076,1360211.1,0.1300733,0.0002794532
700000,0.7814804,5586.477573628937,77.56349206349206,901.618,5586.477521018376,1191015.0,0.13266432,0.0002791507
710000,0.774679,6357.101614528232,83.01709401709402,940.1943,6357.101591256948,1158643.0,0.1366443,0.00027884974
720000,0.79254895,7254.189186159337,96.67326732673267,932.24396,7254.1891949342025,1191294.5,0.1359512,0.00027854848
730000,0.79699063,5880.352569065469,79.79508196721312,954.79565,5880.352550506592,1158240.5,0.13123004,0.0002782473
740000,0.7912256,6087.00902409262,85.87826086956522,973.28186,6130.185073250218,1061860.4,0.1319014,0.0002779476
750000,0.7965982,5729.079047496663,75.3671875,986.4812,5693.69804661773,1224467.0,0.13205862,0.0002776501
760000,0.77208394,6521.953961556837,79.4758064516129,1035.348,6450.583052565412,1346449.2,0.13270266,0.00027734926
770000,0.77320653,6902.852635832953,83.25,1033.8802,6974.6279866797295,1308126.8,0.13565099,0.0002770465
780000,0.7727648,7821.928156656204,96.60396039603961,1064.9155,7821.928159279399,1260104.0,0.1298322,0.00027675042
790000,0.7765263,8096.236823127727,98.98989898989899,1082.5259,8096.236778259277,1287672.1,0.13439322,0.00027645286
800000,0.7793047,6963.697209986307,94.87378640776699,1092.0792,6963.697200414046,1127513.5,0.13751656,0.00027615158
810000,0.77105063,8565.045256389873,107.29347826086956,1128.4832,8565.04533867214,1284640.4,0.12997818,0.00027585053
820000,0.7594032,7850.759501494915,96.57,1144.7568,7850.759467811585,1237126.4,0.1272837,0.00027555105
830000,0.76222533,7625.362126036361,97.72,1153.7195,7625.36208152771,1260396.8,0.13572186,0.00027525215
840000,0.7678443,7621.00637545444,98.17821782178218,1184.031,7529.173903579712,1177527.8,0.13439628,0.0002749512
850000,0.7693653,9099.331129834216,105.13978494623656,1198.8329,9089.951710854808,1464209.5,0.1392944,0.00027464755
860000,0.7913949,8235.227939597708,102.85106382978724,1225.1891,8334.610107261256,1229121.0,0.13021016,0.000274351
