alpha;beta;||A||;||A-1||;v(A);||z||;ksi;||r||;rho
1,000000e+00;1,000000e+00;5,050000e+03;5,050000e+03;2,550250e+07;2,049827e-11;2,085105e-11;0,000000e+00;0,000000e+00
1,000000e+00;1,000000e+01;6,489178e+03;6,171058e+03;4,004509e+07;3,402476e-10;3,453745e-10;1,373337e-10;4,026517e-14
1,000000e+00;1,000000e+02;2,090096e+04;8,878232e+03;1,855635e+08;9,785796e-10;9,806805e-10;1,906812e-10;1,914250e-14
1,000000e+00;1,000000e+03;1,650187e+05;9,942640e+03;1,640722e+09;1,191256e-08;1,226272e-08;4,918991e-08;6,264599e-13
1,000000e+00;1,000000e+04;1,606197e+06;1,008114e+04;1,619230e+10;5,750522e-07;5,762459e-07;1,871423e-04;2,270346e-10
alpha;beta;||A||;||A-1||;v(A);||z||;ksi;||r||;rho
1,000000e+00;1,000000e+00;5,050000e+03;5,050000e+03;2,550250e+07;1,245926e-11;1,246812e-11;0,000000e+00;0,000000e+00
1,000000e-01;1,000000e+00;5,193018e+03;5,161206e+05;2,680223e+09;9,127858e-09;9,157397e-09;9,335963e-10;3,722951e-13
1,000000e-02;1,000000e+00;5,207520e+03;5,087292e+07;2,649217e+11;3,947196e-06;3,986685e-06;1,052058e-08;3,974597e-12
1,000000e-03;1,000000e+00;5,208970e+03;5,053894e+09;2,632558e+13;4,663828e-05;4,764484e-05;4,325830e-08;1,948528e-11
1,000000e-04;1,000000e+00;5,209115e+03;5,049503e+11;2,630344e+15;9,656288e-03;9,729820e-03;1,209198e-06;4,822840e-10
