alpha,beta,||A||,||A-1||,v(A),||z||,ksi,||r||,rho
1.000000e+00,1.000000e+00,5.050000e+03,5.050000e+03,2.550250e+07,1.217617e-03,1.271020e-03,1.147404e-03,5.031068e-07
1.000000e+00,1.000000e+01,6.489178e+03,6.171058e+03,4.004509e+07,1.617806e-03,1.654624e-03,1.528480e-03,4.881949e-07
1.000000e+00,1.000000e+02,2.090096e+04,8.878232e+03,1.855635e+08,5.762876e-03,5.809663e-03,5.420834e-03,5.057042e-07
1.000000e+00,1.000000e+03,1.650187e+05,9.942640e+03,1.640722e+09,4.791683e-02,4.806883e-02,4.459765e-02,6.011665e-07
1.000000e+00,1.000000e+04,1.606197e+06,1.008114e+04,1.619230e+10,4.758417e-01,4.810033e-01,4.362240e-01,5.717213e-07
alpha,beta,||A||,||A-1||,v(A),||z||,ksi,||r||,rho
1.000000e+00,1.000000e+00,5.050000e+03,5.050000e+03,2.550250e+07,1.171970e-03,1.173862e-03,1.104714e-03,4.650225e-07
1.000000e-01,1.000000e+00,5.193018e+03,5.161206e+05,2.680223e+09,1.298790e-02,1.301904e-02,1.224378e-03,4.649793e-07
1.000000e-02,1.000000e+00,5.207520e+03,5.087292e+07,2.649217e+11,1.311701e-01,1.323876e-01,1.235741e-03,5.039039e-07
1.000000e-03,1.000000e+00,5.208970e+03,5.053894e+09,2.632558e+13,1.312444e+00,1.321300e+00,1.237101e-03,4.408351e-07
1.000000e-04,1.000000e+00,5.209115e+03,5.049503e+11,2.630344e+15,1.313801e+01,1.322058e+01,1.237171e-03,5.108862e-07
