alpha;beta;||A||;||A-1||;v(A);||z||;ksi;||r||;rho
1,000000e+00;1,000000e+00;1,000000e+00;1,000000e+00;1,000000e+00;0,000000e+00;0,000000e+00;0,000000e+00;0,000000e+00
1,000000e+00;1,000000e+01;7,199653e+02;6,318796e+02;4,549314e+05;3,270828e-12;3,287725e-12;4,547474e-13;1,385853e-15
1,000000e+00;1,000000e+02;7,929618e+03;3,085967e+03;2,447054e+07;1,038455e-10;1,039057e-10;1,257803e-10;2,901953e-14
1,000000e+00;1,000000e+03;8,002614e+04;4,750358e+03;3,801528e+08;4,741409e-10;4,746079e-10;1,481158e-08;3,486715e-13
1,000000e+00;1,000000e+04;8,009914e+05;5,018373e+03;4,019674e+09;4,153263e-08;4,168011e-08;3,809978e-05;8,895978e-11
1,000000e+00;1,000000e+05;8,010644e+06;5,046820e+03;4,042828e+10;1,071001e-03;1,094232e-03;1,018168e+01;2,476924e-06
alpha;beta;||A||;||A-1||;v(A);||z||;ksi;||r||;rho
1,000000e+00;1,000000e+00;1,000000e+00;1,000000e+00;1,000000e+00;0,000000e+00;0,000000e+00;0,000000e+00;0,000000e+00
1,000000e-01;1,000000e+00;7,199653e+01;6,318796e+03;4,549314e+05;1,366240e-12;1,377856e-12;1,357248e-14;3,849455e-16
1,000000e-02;1,000000e+00;7,929618e+01;3,085967e+05;2,447054e+07;5,234413e-11;5,238855e-11;8,140155e-13;2,291430e-14
1,000000e-03;1,000000e+00;8,002614e+01;4,750358e+06;3,801528e+08;1,202480e-09;1,208002e-09;5,907497e-12;1,669562e-13
1,000000e-04;1,000000e+00;8,009914e+01;5,018373e+07;4,019674e+09;2,717353e-07;2,720107e-07;3,283561e-08;8,100750e-10
1,000000e-05;1,000000e+00;8,010644e+01;5,046820e+08;4,042828e+10;4,978790e-04;5,004849e-04;4,733247e-05;1,217318e-06
