alpha;beta;||A||;||A-1||;v(A);||z||;ksi;||r||;rho
1,000000e+00;1,000000e+00;1,000000e+00;1,000000e+00;1,000000e+00;0,000000e+00;0,000000e+00;0,000000e+00;0,000000e+00
1,000000e+00;1,000000e+01;1,000000e+01;1,559014e+00;1,559014e+01;1,221245e-15;1,235760e-15;1,243450e-14;1,290331e-15
1,000000e+00;1,000000e+02;1,000000e+02;1,206361e+00;1,206361e+02;2,475797e-14;2,496101e-14;2,344791e-12;2,556161e-14
1,000000e+00;1,000000e+03;1,000000e+03;1,029089e+00;1,029089e+03;9,181544e-14;9,228211e-14;8,753887e-11;9,118910e-14
1,000000e+00;1,000000e+04;1,000000e+04;1,003039e+00;1,003039e+04;3,164727e-07;3,181938e-07;9,792834e-05;1,027028e-08
1,000000e+00;1,000000e+05;1,000000e+05;1,000305e+00;1,000305e+05;3,732457e-02;3,778653e-02;5,248407e+01;5,335481e-04
1,000000e+00;1,000000e+06;1,000000e+06;1,000031e+00;1,000031e+06;3,178434e-01;3,255344e-01;3,342823e+03;3,465482e-03
1,000000e+00;1,000000e+07;1,000000e+07;1,000003e+00;1,000003e+07;2,974377e-01;3,068410e-01;3,579366e+04;3,768953e-03
1,000000e+00;1,000000e+08;1,000000e+08;1,000000e+00;1,000000e+08;1,138164e-01;1,142652e-01;2,789086e+05;3,006026e-03
1,000000e+00;1,000000e+09;1,000000e+09;1,000000e+00;1,000000e+09;2,024133e-01;2,052537e-01;4,828510e+06;4,902718e-03
1,000000e+00;1,000000e+10;1,000000e+10;1,000000e+00;1,000000e+10;3,631539e-01;3,654695e-01;2,202450e+07;2,217789e-03
alpha;beta;||A||;||A-1||;v(A);||z||;ksi;||r||;rho
1,000000e+00;1,000000e+00;1,000000e+00;1,000000e+00;1,000000e+00;0,000000e+00;0,000000e+00;0,000000e+00;0,000000e+00
1,000000e-01;1,000000e+00;1,000000e+00;1,559014e+01;1,559014e+01;1,887379e-15;1,894806e-15;1,776357e-15;1,870883e-15
1,000000e-02;1,000000e+00;1,000000e+00;1,206361e+02;1,206361e+02;1,043610e-14;1,053166e-14;9,492407e-15;1,094625e-14
1,000000e-03;1,000000e+00;1,000000e+00;1,029089e+03;1,029089e+03;1,206812e-13;1,218578e-13;1,141309e-13;1,217827e-13
1,000000e-04;1,000000e+00;1,000000e+00;1,003039e+04;1,003039e+04;2,396226e-07;2,403726e-07;8,592669e-09;9,506310e-09
1,000000e-05;1,000000e+00;1,000000e+00;1,000305e+05;1,000305e+05;3,787026e-02;3,843827e-02;9,766794e-04;9,954676e-04
1,000000e-06;1,000000e+00;1,000000e+00;1,000031e+06;1,000031e+06;2,581806e-01;2,610519e-01;2,494735e-03;2,576213e-03
1,000000e-07;1,000000e+00;1,000000e+00;1,000003e+07;1,000003e+07;3,320438e-01;3,322742e-01;5,954036e-03;6,326537e-03
1,000000e-08;1,000000e+00;1,000000e+00;1,000000e+08;1,000000e+08;1,758727e-01;1,776993e-01;4,416093e-03;4,525674e-03
1,000000e-09;1,000000e+00;1,000000e+00;1,000000e+09;1,000000e+09;2,094366e-01;2,108581e-01;3,301476e-03;3,465261e-03
1,000000e-10;1,000000e+00;1,000000e+00;1,000000e+10;1,000000e+10;3,329365e-01;3,426212e-01;4,022053e-03;4,545070e-03
