alpha,beta,||A||,||A-1||,v(A),||z||,ksi,||r||
1.000000e+00,1.000000e+00,2.017500e+04,2.017500e+04,4.070306e+08,5.512980e-06,2.732580e-10,4.181506e-08
1.000000e+00,1.000000e+01,8.424782e+04,1.589282e+04,1.338936e+09,2.730586e-06,1.718125e-10,4.993015e-08
1.000000e+00,1.000000e+02,7.879310e+05,8.414667e+03,6.630177e+09,2.189587e-06,2.602108e-10,1.000671e-07
1.000000e+00,1.000000e+03,7.828492e+06,9.858730e+03,7.717898e+10,2.723917e-05,2.762950e-09,7.923641e-07
1.000000e+00,1.000000e+04,7.823513e+07,1.007214e+04,7.879950e+11,3.826512e-04,3.799106e-08,1.547989e-05
1.000000e+00,1.000000e+05,7.823015e+08,1.009450e+04,7.896945e+12,4.908513e-03,4.862560e-07,7.436196e-05
1.000000e+00,1.000000e+06,7.822965e+09,1.009675e+04,7.898652e+13,1.634438e-01,1.618776e-05,1.539537e-03
1.000000e+00,1.000000e+07,7.822960e+10,1.009698e+04,7.898823e+14,4.099289e-01,4.059918e-05,1.928973e-02
1.000000e+00,1.000000e+08,7.822960e+11,1.009700e+04,7.898840e+15,4.269462e-01,4.228447e-05,2.134076e-01
1.000000e+00,1.000000e+09,7.822960e+12,1.009700e+04,7.898842e+16,4.437683e+01,4.395051e-03,5.922329e-01
1.000000e+00,1.000000e+10,7.822960e+13,1.009700e+04,7.898842e+17,2.299086e+02,2.276999e-02,5.870324e+00
1.000000e+00,1.000000e+00,2.017500e+04,2.017500e+04,4.070306e+08,5.512980e-06,2.732580e-10,4.181506e-08
1.000000e-01,1.000000e+00,8.424782e+03,5.126746e+05,4.319172e+09,3.385096e-05,6.602816e-11,9.325658e-08
1.000000e-02,1.000000e+00,7.879310e+03,5.082657e+07,4.004783e+11,2.309196e+00,4.543285e-08,8.400636e-06
1.000000e-03,1.000000e+00,7.828492e+03,5.053810e+09,3.956371e+13,1.993392e+04,3.944335e-06,4.957958e-04
1.000000e-04,1.000000e+00,7.823513e+03,5.049502e+11,3.950485e+15,6.590220e+08,1.305123e-03,4.050615e-02
1.000000e-05,1.000000e+00,7.823015e+03,5.049050e+13,3.949880e+17,4.336855e+12,8.589446e-02,8.218120e+00
1.000000e-06,1.000000e+00,7.822965e+03,5.049005e+15,3.949819e+19,4.556801e+15,9.025147e-01,5.990326e+01
1.000000e-07,1.000000e+00,7.822960e+03,5.049001e+17,3.949813e+21,4.989585e+17,9.882323e-01,5.391869e+02
1.000000e-08,1.000000e+00,7.822960e+03,5.049000e+19,3.949812e+23,5.049214e+19,1.000042e+00,2.860679e+02
1.000000e-09,1.000000e+00,7.822960e+03,5.049000e+21,3.949812e+25,5.048999e+21,9.999999e-01,1.151043e+02
1.000000e-10,1.000000e+00,7.822960e+03,5.049000e+23,3.949812e+27,5.049000e+23,1.000000e+00,1.965108e+02
