alpha,beta,||A||,||A-1||,v(A),||z||,ksi,||r||
1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e+00,1.000000e+01,7.199653e+02,6.318796e+02,4.549314e+05,3.887574e-08,6.152396e-11,7.634146e-09
1.000000e+00,1.000000e+02,7.929618e+03,3.085967e+03,2.447054e+07,5.989037e-09,1.940733e-12,6.236329e-10
1.000000e+00,1.000000e+03,8.002614e+04,4.750358e+03,3.801528e+08,4.513580e-08,9.501559e-12,9.617860e-09
1.000000e+00,1.000000e+04,8.009914e+05,5.018373e+03,4.019674e+09,4.259780e-07,8.488368e-11,9.031488e-08
1.000000e+00,1.000000e+05,8.010644e+06,5.046820e+03,4.042828e+10,1.386031e-05,2.746346e-09,6.753660e-07
1.000000e+00,1.000000e+06,8.010717e+07,5.049682e+03,4.045157e+11,4.199978e-05,8.317313e-09,8.175833e-06
1.000000e+00,1.000000e+07,8.010724e+08,5.049968e+03,4.045390e+12,5.830349e-04,1.154532e-07,1.188700e-04
1.000000e+00,1.000000e+08,8.010725e+09,5.049997e+03,4.045414e+13,8.704202e-03,1.723605e-06,7.768952e-04
1.000000e+00,1.000000e+09,8.010725e+10,5.050000e+03,4.045416e+14,1.396598e-01,2.765542e-05,7.081080e-03
1.000000e+00,1.000000e+10,8.010725e+11,5.050000e+03,4.045416e+15,6.780958e-01,1.342764e-04,6.567188e-02
1.000000e+00,1.000000e+11,8.010725e+12,5.050000e+03,4.045416e+16,2.818048e+00,5.580293e-04,8.082486e-01
1.000000e+00,1.000000e+12,8.010725e+13,5.050000e+03,4.045416e+17,3.715108e+01,7.356650e-03,7.623815e+00
1.000000e+00,1.000000e+13,8.010725e+14,5.050000e+03,4.045416e+18,1.351904e+03,2.677037e-01,8.595875e+01
1.000000e+00,1.000000e+14,8.010725e+15,5.050000e+03,4.045416e+19,7.968936e+03,1.578007e+00,5.014752e+02
1.000000e+00,1.000000e+15,8.010725e+16,5.050000e+03,4.045416e+20,1.779107e+04,3.522985e+00,1.576898e+04
1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-01,1.000000e+00,7.199653e+01,6.318796e+03,4.549314e+05,3.888159e-07,6.153322e-11,7.634125e-09
1.000000e-02,1.000000e+00,7.929618e+01,3.085967e+05,2.447054e+07,1.075333e-06,3.484591e-12,6.486077e-10
1.000000e-03,1.000000e+00,8.002614e+01,4.750358e+06,3.801528e+08,4.132314e-06,8.698953e-13,6.987839e-09
1.000000e-04,1.000000e+00,8.009914e+01,5.018373e+07,4.019674e+09,6.859499e-03,1.366877e-10,6.597623e-08
1.000000e-05,1.000000e+00,8.010644e+01,5.046820e+08,4.042828e+10,1.174032e+00,2.326282e-09,9.480744e-07
1.000000e-06,1.000000e+00,8.010717e+01,5.049682e+09,4.045157e+11,1.143420e+02,2.264340e-08,8.032753e-06
1.000000e-07,1.000000e+00,8.010724e+01,5.049968e+10,4.045390e+12,4.057669e+03,8.035039e-08,1.156541e-04
1.000000e-08,1.000000e+00,8.010725e+01,5.049997e+11,4.045414e+13,2.927328e+06,5.796692e-06,1.165369e-03
1.000000e-09,1.000000e+00,8.010725e+01,5.050000e+12,4.045416e+14,3.063188e+08,6.065719e-05,8.308583e-03
1.000000e-10,1.000000e+00,8.010725e+01,5.050000e+13,4.045416e+15,4.923289e+10,9.749088e-04,1.039215e-01
1.000000e-11,1.000000e+00,8.010725e+01,5.050000e+14,4.045416e+16,1.871302e+12,3.705548e-03,7.729807e-01
1.000000e-12,1.000000e+00,8.010725e+01,5.050000e+15,4.045416e+17,1.700908e+14,3.368135e-02,1.074422e+01
1.000000e-13,1.000000e+00,8.010725e+01,5.050000e+16,4.045416e+18,1.639260e+17,3.246059e+00,1.338541e+02
1.000000e-14,1.000000e+00,8.010725e+01,5.050000e+17,4.045416e+19,5.101397e+17,1.010178e+00,3.713505e+00
1.000000e-15,1.000000e+00,8.010725e+01,5.050000e+18,4.045416e+20,1.952014e+18,3.865375e-01,2.682372e+03
